class,image_path,name,xmax,xmin,ymax,ymin
2,1ecacdec8ef875a2047bb6ba22443de1.jpg,POTHOLES,296,-71,393,206
2,1ecacdec8ef875a2047bb6ba22443de1.jpg,POTHOLES,333,216,275,178
2,1ecacdec8ef875a2047bb6ba22443de1.jpg,POTHOLES,547,351,322,228
3,1ecacdec8ef875a2047bb6ba22443de1.jpg,GARBAGE,484,412,226,168
8,1ecacdec8ef875a2047bb6ba22443de1.jpg,SAND_ON_ROAD,899,544,241,97
3,68dee6cb43cbc7680c69a309992f947a.jpg,GARBAGE,330,173,301,210
3,68dee6cb43cbc7680c69a309992f947a.jpg,GARBAGE,461,366,310,249
0,68dee6cb43cbc7680c69a309992f947a.jpg,GRAFFITI,207,86,220,133
9,cbe3dfb20e83df28dd4633c976fdb427.jpg,CLUTTER_SIDEWALK,590,201,264,173
9,cbe3dfb20e83df28dd4633c976fdb427.jpg,CLUTTER_SIDEWALK,848,430,242,162
3,db1a3bbb58f94a47e71a9c66659db183.jpg,GARBAGE,410,359,246,209
3,db1a3bbb58f94a47e71a9c66659db183.jpg,GARBAGE,258,144,268,228
3,df47a2df1383777a4c944f37ce567670.jpg,GARBAGE,922,809,217,156
3,df47a2df1383777a4c944f37ce567670.jpg,GARBAGE,753,665,205,152
3,1dd55d643aacdb27ad700b9f2ef6a631.jpg,GARBAGE,928,766,354,273
3,1dd55d643aacdb27ad700b9f2ef6a631.jpg,GARBAGE,660,593,472,422
3,1dd55d643aacdb27ad700b9f2ef6a631.jpg,GARBAGE,613,492,391,315
3,8ee2038d392b86e38bf8cd02bafe3041.jpg,GARBAGE,357,230,390,299
9,fd845ce9b0fc04db73d03844b627de8a.jpg,CLUTTER_SIDEWALK,444,59,365,208
9,fd845ce9b0fc04db73d03844b627de8a.jpg,CLUTTER_SIDEWALK,894,402,353,195
8,eb81c4e77e0138e53ae2e118c225bbb8.jpg,SAND_ON_ROAD,780,482,225,86
0,3f73a96a4a26927f824f6b93d7cdf703.jpg,GRAFFITI,787,568,280,151
0,3f73a96a4a26927f824f6b93d7cdf703.jpg,GRAFFITI,1028,695,298,159
0,3f73a96a4a26927f824f6b93d7cdf703.jpg,GRAFFITI,800,698,294,162
0,3f73a96a4a26927f824f6b93d7cdf703.jpg,GRAFFITI,902,486,383,196
3,3f73a96a4a26927f824f6b93d7cdf703.jpg,GARBAGE,976,888,459,388
3,be4252ee56467c82437b3ac109f89258.jpg,GARBAGE,927,770,259,188
3,be4252ee56467c82437b3ac109f89258.jpg,GARBAGE,743,665,257,196
0,8cab7d5e9825ae6afa7ff2ad8078dee4.jpg,GRAFFITI,445,-102,246,53
3,998aae75a69cdc2ad2a3079f744cf19f.jpg,GARBAGE,375,266,360,270
9,0e2feddfa6d13e4c3d409d8a6df4a59a.jpg,CLUTTER_SIDEWALK,341,192,269,198
9,0e2feddfa6d13e4c3d409d8a6df4a59a.jpg,CLUTTER_SIDEWALK,273,5,307,196
9,e406093329573c21614dfeab08aa1abe.jpg,CLUTTER_SIDEWALK,412,119,334,233
9,e406093329573c21614dfeab08aa1abe.jpg,CLUTTER_SIDEWALK,815,341,357,209
9,e406093329573c21614dfeab08aa1abe.jpg,CLUTTER_SIDEWALK,979,657,341,236
8,a63966534cf4929cb550bcbacd18424e.jpg,SAND_ON_ROAD,233,-36,372,212
7,f3824e6e749dbf4010d591526e581159.jpg,BAD_BILLBOARD,931,804,169,64
7,f3824e6e749dbf4010d591526e581159.jpg,BAD_BILLBOARD,701,610,190,119
7,f3824e6e749dbf4010d591526e581159.jpg,BAD_BILLBOARD,715,620,157,84
8,471dc72d27696d978344841966998f23.jpg,SAND_ON_ROAD,385,217,233,143
8,471dc72d27696d978344841966998f23.jpg,SAND_ON_ROAD,535,377,237,174
8,471dc72d27696d978344841966998f23.jpg,SAND_ON_ROAD,681,481,231,168
8,471dc72d27696d978344841966998f23.jpg,SAND_ON_ROAD,249,31,253,145
4,641caad45035c1880633d363f3a5fcac.jpg,CONSTRUCTION_ROAD,331,105,274,167
4,641caad45035c1880633d363f3a5fcac.jpg,CONSTRUCTION_ROAD,1003,157,437,126
0,522cafccf5576f5604a2652a0dcf722d.jpg,GRAFFITI,574,152,316,80
0,522cafccf5576f5604a2652a0dcf722d.jpg,GRAFFITI,849,343,358,156
0,522cafccf5576f5604a2652a0dcf722d.jpg,GRAFFITI,1041,642,382,115
10,522cafccf5576f5604a2652a0dcf722d.jpg,UNKEPT_FACADE,317,20,195,22
10,522cafccf5576f5604a2652a0dcf722d.jpg,UNKEPT_FACADE,942,540,176,28
3,55b6ff8a233ca8d54744f574b992d180.jpg,GARBAGE,815,770,199,158
3,094fdf4fbf2081a81d1d3d055b4f8800.jpg,GARBAGE,417,348,285,210
2,e72991910ba624603c7191e118afe560.jpg,POTHOLES,170,53,407,321
2,e72991910ba624603c7191e118afe560.jpg,POTHOLES,289,76,363,234
2,e72991910ba624603c7191e118afe560.jpg,POTHOLES,259,193,267,202
2,e72991910ba624603c7191e118afe560.jpg,POTHOLES,905,663,342,231
2,6df1e33c4e4d929177f4c575d178e638.jpg,POTHOLES,415,300,514,321
2,6df1e33c4e4d929177f4c575d178e638.jpg,POTHOLES,628,339,491,377
7,3cfbd1b318d5a246f82e31d6b182da54.jpg,BAD_BILLBOARD,710,556,188,67
7,3cfbd1b318d5a246f82e31d6b182da54.jpg,BAD_BILLBOARD,995,656,113,-24
3,3cfbd1b318d5a246f82e31d6b182da54.jpg,GARBAGE,870,778,386,318
9,55a0c5e6238c1184dfb82f33783e97da.jpg,CLUTTER_SIDEWALK,469,-92,387,167
3,145bf4b86cec2b3c547e9c82fcd80119.jpg,GARBAGE,190,80,305,243
3,cc9802d1998c74e7d7a80d55ce5eafe0.jpg,GARBAGE,831,609,453,311
3,cc9802d1998c74e7d7a80d55ce5eafe0.jpg,GARBAGE,930,785,422,368
0,cc9802d1998c74e7d7a80d55ce5eafe0.jpg,GRAFFITI,787,663,295,211
0,cc9802d1998c74e7d7a80d55ce5eafe0.jpg,GRAFFITI,722,599,279,221
0,6572b86e2863c2324d4ac002b8ca6bab.jpg,GRAFFITI,197,101,287,229
4,c933e0c736bd2f689340c34ed6446ef3.jpg,CONSTRUCTION_ROAD,717,341,267,148
7,3cc67ca70be2c13f8b405da8ad45511b.jpg,BAD_BILLBOARD,960,803,212,147
7,c5c3f29cd87865bcb93f0d86dad89dc1.jpg,BAD_BILLBOARD,1103,245,414,-111
0,c10f5c5f8ee5b72be3c6930019687b67.jpg,GRAFFITI,767,645,231,157
3,b8a7a9c4ecd91abc304fcbb58495b8e5.jpg,GARBAGE,214,165,276,221
4,e3c3f30cdce9a59c92fa3dc1d07dc54f.jpg,CONSTRUCTION_ROAD,518,-68,394,152
4,e3c3f30cdce9a59c92fa3dc1d07dc54f.jpg,CONSTRUCTION_ROAD,697,310,375,159
9,6c28b02480fabed35971144f52265328.jpg,CLUTTER_SIDEWALK,200,16,176,127
9,6c28b02480fabed35971144f52265328.jpg,CLUTTER_SIDEWALK,548,202,187,125
9,6c28b02480fabed35971144f52265328.jpg,CLUTTER_SIDEWALK,848,573,208,128
7,2d3b6a997226d959814db4ff2213beea.jpg,BAD_BILLBOARD,946,701,162,33
9,5d8f08a7c53212edd10e3cb86009d08e.jpg,CLUTTER_SIDEWALK,339,-37,282,187
9,5d8f08a7c53212edd10e3cb86009d08e.jpg,CLUTTER_SIDEWALK,608,242,285,187
9,5d8f08a7c53212edd10e3cb86009d08e.jpg,CLUTTER_SIDEWALK,897,550,302,203
3,1b8abef594c2f9bc067c3091d56916b1.jpg,GARBAGE,713,598,304,211
3,1b8abef594c2f9bc067c3091d56916b1.jpg,GARBAGE,96,-14,282,191
3,1b8abef594c2f9bc067c3091d56916b1.jpg,GARBAGE,140,54,306,186
8,1b8abef594c2f9bc067c3091d56916b1.jpg,SAND_ON_ROAD,312,173,298,207
3,68f8c1d1a87686ee7b6a22cc1ec4cf51.jpg,GARBAGE,336,271,349,289
3,62b46e15f86840cef61f8f6563536fb9.jpg,GARBAGE,400,310,286,238
3,62b46e15f86840cef61f8f6563536fb9.jpg,GARBAGE,432,370,312,268
0,62b46e15f86840cef61f8f6563536fb9.jpg,GRAFFITI,514,420,180,118
0,62b46e15f86840cef61f8f6563536fb9.jpg,GRAFFITI,601,546,189,129
3,6034f49fb46042b0ec8b2c52c7f2c657.jpg,GARBAGE,112,34,260,216
0,f28ff3dc7b418d864d92851a01de2d27.jpg,GRAFFITI,540,53,204,57
0,f28ff3dc7b418d864d92851a01de2d27.jpg,GRAFFITI,804,598,228,124
0,f28ff3dc7b418d864d92851a01de2d27.jpg,GRAFFITI,922,717,236,105
10,f28ff3dc7b418d864d92851a01de2d27.jpg,UNKEPT_FACADE,907,501,287,150
10,f28ff3dc7b418d864d92851a01de2d27.jpg,UNKEPT_FACADE,634,165,269,150
5,5b423ae5c1cf5a14010254b708f0203c.jpg,BROKEN_SIGNAGE,667,590,261,166
9,3b09a6afae7d36e58fc5315b5acd5053.jpg,CLUTTER_SIDEWALK,488,78,279,156
9,3b09a6afae7d36e58fc5315b5acd5053.jpg,CLUTTER_SIDEWALK,767,326,283,153
9,3b09a6afae7d36e58fc5315b5acd5053.jpg,CLUTTER_SIDEWALK,994,590,269,144
7,4475ace22be4be1b8f343ec6005c9852.jpg,BAD_BILLBOARD,885,648,247,133
7,4475ace22be4be1b8f343ec6005c9852.jpg,BAD_BILLBOARD,988,811,247,135
3,e23a7f18f969a46a90ae2430a2a5f169.jpg,GARBAGE,361,281,318,253
3,e23a7f18f969a46a90ae2430a2a5f169.jpg,GARBAGE,341,218,365,267
9,88e49d3a014221186e4882f1f10f9ea4.jpg,CLUTTER_SIDEWALK,378,34,311,202
9,88e49d3a014221186e4882f1f10f9ea4.jpg,CLUTTER_SIDEWALK,885,201,339,187
3,88e49d3a014221186e4882f1f10f9ea4.jpg,GARBAGE,139,30,265,193
3,da83d6c10fbf98ec923c8089398121fd.jpg,GARBAGE,875,666,282,127
3,da83d6c10fbf98ec923c8089398121fd.jpg,GARBAGE,768,585,283,130
3,da83d6c10fbf98ec923c8089398121fd.jpg,GARBAGE,214,75,271,170
3,da83d6c10fbf98ec923c8089398121fd.jpg,GARBAGE,127,-20,295,190
3,aa45ab55354218590bcf350f8f9e8101.jpg,GARBAGE,722,537,498,397
4,737e9f6ef06962b76e54f3cfb7ea620c.jpg,CONSTRUCTION_ROAD,445,359,238,173
4,737e9f6ef06962b76e54f3cfb7ea620c.jpg,CONSTRUCTION_ROAD,401,191,262,135
4,737e9f6ef06962b76e54f3cfb7ea620c.jpg,CONSTRUCTION_ROAD,319,-21,311,76
7,c79cff658f4040b210e57173c00a60e7.jpg,BAD_BILLBOARD,378,157,231,36
3,40963a7db20ad00dd22cc286bbf8513f.jpg,GARBAGE,207,148,173,121
0,624d3575f86963e635cbd306b90af923.jpg,GRAFFITI,421,189,218,96
2,fb7b771387f1e5090534ae2ad78f7e5b.jpg,POTHOLES,778,503,402,252
2,fb7b771387f1e5090534ae2ad78f7e5b.jpg,POTHOLES,933,655,378,279
7,9f5dd9884a6bad7133554796fff53661.jpg,BAD_BILLBOARD,961,660,121,-5
7,9f5dd9884a6bad7133554796fff53661.jpg,BAD_BILLBOARD,775,638,141,26
7,9f5dd9884a6bad7133554796fff53661.jpg,BAD_BILLBOARD,683,548,180,99
7,9f5dd9884a6bad7133554796fff53661.jpg,BAD_BILLBOARD,625,534,184,131
7,9f5dd9884a6bad7133554796fff53661.jpg,BAD_BILLBOARD,268,106,193,136
7,9f5dd9884a6bad7133554796fff53661.jpg,BAD_BILLBOARD,570,488,200,147
7,325db3681c6661b028fb1c055b906c60.jpg,BAD_BILLBOARD,473,272,244,151
7,5394c995f20f690020b7969e1cbbc0ff.jpg,BAD_BILLBOARD,734,576,222,188
3,6fda45fcd9c734e41732480c518ab2a5.jpg,GARBAGE,536,470,343,298
3,6fda45fcd9c734e41732480c518ab2a5.jpg,GARBAGE,162,89,379,331
3,1641aff7eaf7d87adb61255bd2c58b03.jpg,GARBAGE,381,309,245,204
2,fe20ce76e5e5dad810322af9b683f471.jpg,POTHOLES,294,90,301,223
9,f72fa1e032857b09399ae083a8d63a86.jpg,CLUTTER_SIDEWALK,502,-43,608,212
9,f72fa1e032857b09399ae083a8d63a86.jpg,CLUTTER_SIDEWALK,1066,336,600,212
2,1eebacd7998cda3ebd001a894d5e8d5c.jpg,POTHOLES,925,703,523,375
3,1eebacd7998cda3ebd001a894d5e8d5c.jpg,GARBAGE,964,886,358,282
7,40d542f9536474f0b4932e48a89d3a61.jpg,BAD_BILLBOARD,201,86,245,202
3,18a085b399ac992ff6ee5b142e514250.jpg,GARBAGE,186,6,312,224
3,18a085b399ac992ff6ee5b142e514250.jpg,GARBAGE,162,48,477,404
3,18a085b399ac992ff6ee5b142e514250.jpg,GARBAGE,268,133,309,234
3,18a085b399ac992ff6ee5b142e514250.jpg,GARBAGE,330,214,307,231
3,18a085b399ac992ff6ee5b142e514250.jpg,GARBAGE,414,312,302,245
2,4fcb6ccd28674885ac55525d4b0710b6.jpg,POTHOLES,485,389,388,313
2,4fcb6ccd28674885ac55525d4b0710b6.jpg,POTHOLES,817,642,339,258
3,a62a69df6401db7412f21b8a4b8b2832.jpg,GARBAGE,755,685,284,229
3,a62a69df6401db7412f21b8a4b8b2832.jpg,GARBAGE,964,902,334,289
3,a62a69df6401db7412f21b8a4b8b2832.jpg,GARBAGE,751,687,449,396
0,dde03ef8a674d35eaca3ac5f412c8116.jpg,GRAFFITI,306,240,247,201
3,4e7db9e254c41371e89dca348788ba9c.jpg,GARBAGE,974,890,256,193
7,defc32051b5d73aa3e7f6f386862a622.jpg,BAD_BILLBOARD,266,197,202,143
0,fcf0b145f7c16e26186d591959bea3a9.jpg,GRAFFITI,524,310,184,111
7,297c6ae91f335afa7880ee1c5c5202ae.jpg,BAD_BILLBOARD,592,472,229,173
3,ada5cc1be19c27e29027cd83d531354b.jpg,GARBAGE,819,754,260,206
9,3f8f1ce7a128a1ab1fd361e2cf8ab3aa.jpg,CLUTTER_SIDEWALK,667,172,296,207
3,3f8f1ce7a128a1ab1fd361e2cf8ab3aa.jpg,GARBAGE,792,684,293,231
9,3f8f1ce7a128a1ab1fd361e2cf8ab3aa.jpg,CLUTTER_SIDEWALK,944,675,304,206
2,ca81dcb26cc81f6e10abcd864885612d.jpg,POTHOLES,730,575,313,225
2,ca81dcb26cc81f6e10abcd864885612d.jpg,POTHOLES,901,679,371,252
3,7f3121c4e3352beee0a321e548b31e7b.jpg,GARBAGE,195,138,271,232
3,7f3121c4e3352beee0a321e548b31e7b.jpg,GARBAGE,105,45,275,238
3,7f3121c4e3352beee0a321e548b31e7b.jpg,GARBAGE,116,-26,353,265
3,7f3121c4e3352beee0a321e548b31e7b.jpg,GARBAGE,501,418,337,282
10,08c362323b428a71eb83aecfca231473.jpg,UNKEPT_FACADE,1039,678,304,111
2,08c362323b428a71eb83aecfca231473.jpg,POTHOLES,529,408,260,209
2,6fcee3eb1e7250958352fad198569de2.jpg,POTHOLES,416,162,503,311
3,6fcee3eb1e7250958352fad198569de2.jpg,GARBAGE,876,769,455,372
4,125744de9cf3740396125c9426fad0d5.jpg,CONSTRUCTION_ROAD,224,-6,228,99
4,125744de9cf3740396125c9426fad0d5.jpg,CONSTRUCTION_ROAD,382,140,274,95
9,89ddeeab47d3d477aae671807f10a8ce.jpg,CLUTTER_SIDEWALK,1013,80,514,257
9,0ec19b78e71f1f04e1d1f06c16fa4094.jpg,CLUTTER_SIDEWALK,474,125,285,117
3,2e704259e11582be3c5269b25f7c4ee9.jpg,GARBAGE,597,443,533,452
3,2e704259e11582be3c5269b25f7c4ee9.jpg,GARBAGE,689,585,547,452
0,e3a2998c769f43f2767cce3c50e0e193.jpg,GRAFFITI,478,278,122,-30
10,e3a2998c769f43f2767cce3c50e0e193.jpg,UNKEPT_FACADE,589,339,227,42
10,e3a2998c769f43f2767cce3c50e0e193.jpg,UNKEPT_FACADE,365,189,158,26
3,5191ba1f844dc80bdef515cc5733b468.jpg,GARBAGE,420,-111,522,81
2,5191ba1f844dc80bdef515cc5733b468.jpg,POTHOLES,516,434,375,258
2,5191ba1f844dc80bdef515cc5733b468.jpg,POTHOLES,614,357,454,316
